Input_1;Input_2;Input_3;Input_4;Input_5;Input_6;Input_7;Output_1;Output_2
-0.788186158;-0.697276757;-0.293961513;-0.782469369;-0.786104527;-0.784424504;-0.781556857;-1.005634369;-0.325259648
-0.858591885;-0.798199584;-0.293961513;-0.851372179;-0.852070631;-0.85078099;-0.848867825;-0.991214538;0.039159167
-0.905727924;-0.865375916;-0.293961513;-0.910118091;-0.90918886;-0.908330564;-0.907164762;-0.992537355;0.351977246
-0.952863962;-0.932642721;-0.293961513;-0.959882464;-0.958194425;-0.957765592;-0.957253043;-1.005846862;0.621146289
-1;-1;0.137358991;-1;-1;-1;-1;-1.061686216;0.931708122
-0.541169451;-0.312313399;-0.947577969;-0.611487498;-0.622634334;-0.618644068;-0.61276833;-0.981751539;-0.953231981
-0.553102625;-0.330000905;-0.293961513;-0.580063203;-0.587749876;-0.584441121;-0.578911501;-0.841723519;-0.690583792
-0.647374702;-0.471546187;-0.293961513;-0.679037534;-0.681349745;-0.67854769;-0.674875321;-0.822879694;-0.383457286
-0.788186158;-0.697276757;-0.293961513;-0.764461939;-0.762882024;-0.760579373;-0.757922126;-0.806437673;-0.036540611
-0.858591885;-0.798199584;0.137358991;-0.836713422;-0.833614319;-0.83178243;-0.829941455;-0.795752038;0.484937146
-0.905727924;-0.865375916;0.137358991;-0.896878638;-0.894357895;-0.893043093;-0.891924542;-0.867712162;0.674856742
-0.964797136;-0.949470732;0.137358991;-0.948838499;-0.946202893;-0.945386064;-0.944924573;-0.87851005;0.936898174
-0.364558473;-0.047226997;-1;-0.466651882;-0.479141579;-0.474050072;-0.466995013;-0.83594594;-1.012538166
-0.388424821;-0.082511535;-0.293961513;-0.458801353;-0.466668357;-0.462833721;-0.456432178;-0.682776374;-0.733553959
-0.576372315;-0.365375916;0.137358991;-0.575627876;-0.577634398;-0.574083306;-0.569773565;-0.682737058;-0.371664714
-0.670644391;-0.506921198;0.137358991;-0.676575927;-0.674682148;-0.671485543;-0.668153517;-0.667129244;-0.002614796
-0.800119332;-0.714104768;0.137358991;-0.762909575;-0.758774988;-0.756065138;-0.753647431;-0.672276471;0.329230881
-0.87052506;-0.814982358;0.137358991;-0.83620336;-0.831079111;-0.828929877;-0.827308491;-0.679604824;0.667989024
-0.917661098;-0.882203927;0.137358991;-0.89812053;-0.892836771;-0.891215243;-0.890313787;-0.693537294;0.936325574
-0.247016706;0.12924093;-0.921698739;-0.323523868;-0.338158679;-0.331865515;-0.324040517;-0.65902408;-0.991066347
-0.294152745;0.05871709;0.137358991;-0.339114043;-0.347234722;-0.342998781;-0.336059226;-0.510111072;-0.671939152
-0.435560859;-0.153171085;0.137358991;-0.474391529;-0.475313415;-0.471003656;-0.466220611;-0.496179374;-0.382675609
-0.611575179;-0.418438433;0.137358991;-0.591262405;-0.587445651;-0.583416417;-0.579561999;-0.485501125;-0.018446892
-0.705847255;-0.560617027;0.137358991;-0.691190331;-0.684721571;-0.681178686;-0.678251711;-0.484997607;0.344268285
-0.823389021;-0.747760789;0.137358991;-0.77606032;-0.768383425;-0.76539825;-0.76331196;-0.493467827;0.658649761
-0.894391408;-0.848593142;0.137358991;-0.847801741;-0.839876282;-0.837515232;-0.836198618;-0.503128791;0.973505331
-0.094272076;0.350628789;-0.856005309;-0.182147807;-0.199280001;-0.192090395;-0.184090698;-0.48244029;-0.969417233
-0.211813842;0.182122501;0.137358991;-0.220823862;-0.229474325;-0.224576271;-0.217699718;-0.339996898;-0.657864404
-0.353221957;-0.029539492;0.568679496;-0.373864833;-0.374209332;-0.369281046;-0.364092556;-0.33419206;-0.347235934
-0.482100239;-0.223875871;0.568679496;-0.505283584;-0.501172534;-0.496427385;-0.49214757;-0.338485164;-0.03090323
-0.647374702;-0.471546187;0.568679496;-0.618783611;-0.611403364;-0.607039991;-0.603692346;-0.305628136;0.382091241
-0.776252983;-0.68040351;0.137358991;-0.716493874;-0.706220132;-0.702475906;-0.699996902;-0.311053205;0.659653099
-0.858591885;-0.798199584;0.137358991;-0.797904308;-0.78737213;-0.784258336;-0.782579066;-0.318896848;0.991718245
0.094272076;0.606215507;-0.803583278;-0.042501525;-0.041463322;-0.055610945;-0.047765078;-0.32958143;-0.98055926
2.22E-16;0.504568895;0.137358991;-0.104041692;-0.092725222;-0.107898527;-0.101136821;-0.170678804;-0.634886472
-0.28221957;0.076314123;0.568679496;-0.274868326;-0.270316521;-0.268915476;-0.263513304;-0.160668317;-0.331555093
-0.423627685;-0.135528816;0.568679496;-0.421633309;-0.415888147;-0.410463055;-0.405879255;-0.16022034;-0.015079254
-0.541169451;-0.312313399;0.568679496;-0.547397017;-0.538795016;-0.533732137;-0.530031286;-0.168180656;0.317325988
-0.693914081;-0.542793812;0.568679496;-0.654487997;-0.644639937;-0.640162845;-0.637332342;-0.169166155;0.664828415
-0.823389021;-0.747760789;0.568679496;-0.745256972;-0.73524826;-0.731444555;-0.729424155;-0.159256586;0.949406735
-0.011933174;0.490681263;-0.777704048;0.09528192;0.094677331;0.078375983;0.086020506;-0.164381036;-0.991402722
